QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e7ac-0001-9d95-0005-177a00026566,"show terse SCHEMAS in DATABASE IDENTIFIER('""COVID19_EPIDEMIOLOGICAL_DATA""') limit 1001",13,CITIBIKE,4,PUBLIC,SHOW,1433187637157934,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:56:31.043-08:00,2024-01-25T03:56:31.159-08:00,116,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,98,18,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,2ff758ad100254e0161f6c091345bd9a,2,2ff758ad100254e0161f6c091345bd9a,1
01b1e7a0-0001-9d98-0005-177a000224d2,"show terse FILE FORMATS in SCHEMA IDENTIFIER('""CITIBIKE"".""PUBLIC""')",13,CITIBIKE,4,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:44:47.193-08:00,2024-01-25T03:44:47.226-08:00,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c116d99437026f5497b20c185bbe1b5c,2,c116d99437026f5497b20c185bbe1b5c,1
01b1e7f9-0001-9dfc-0005-177a00028136,"select * from json_weather_data_view
where date_trunc('month',observation_time) = '2018-01-01'
limit 20;",19,WEATHER,6,PUBLIC,SELECT,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,X-Small,STANDARD,1,,SUCCESS,,,2024-01-25T05:13:51.476-08:00,2024-01-25T05:13:51.688-08:00,212,929280,1,0,0,0,20,0,0,0,0,0,1,1,0,0,0,123,89,0,0,0,0,,,0,,,0,0,1.9e-05,8.3.1,0,0,0,0,0,100,FALSE,0,0,0,0,0,ROLE,937d0faf1fc27c9196eebb75d9218181,2,937d0faf1fc27c9196eebb75d9218181,1
01b1e7f0-0001-9eb2-0005-177a00029126,show WAREHOUSES like 'ANALYTICS_WH',16,CITIBIKE,5,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,4,ANALYTICS_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:04:09.308-08:00,2024-01-25T05:04:09.389-08:00,81,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,66,15,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c36ccc4879bf44bbb8269c459c4b2980,2,c36ccc4879bf44bbb8269c459c4b2980,1
01b1e7f0-0001-9e31-0005-177a00021546,show terse DATABASES limit 10000,16,CITIBIKE,5,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,4,ANALYTICS_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:04:12.93-08:00,2024-01-25T05:04:13.374-08:00,444,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,402,42,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,4efc4b933266389f41e98d55f32425ab,2,4efc4b933266389f41e98d55f32425ab,1
01b1e7ac-0001-9d84-0005-177a000234b6,"show terse SCHEMAS in DATABASE IDENTIFIER('""CITIBIKE""') limit 1001",13,CITIBIKE,4,PUBLIC,SHOW,1433187637157934,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:56:32.102-08:00,2024-01-25T03:56:32.137-08:00,35,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,64f0b8ed8d77f55a9f3d49f681065143,2,64f0b8ed8d77f55a9f3d49f681065143,1
01b1e7fa-0001-9dfc-0005-177a0002813e,"describe TABLE IDENTIFIER('""WEATHER"".""PUBLIC"".""JSON_WEATHER_DATA""')",19,WEATHER,6,PUBLIC,DESCRIBE,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:14:00.191-08:00,2024-01-25T05:14:00.219-08:00,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,63c87afe8bdb8c3d78fd0567a8050275,2,63c87afe8bdb8c3d78fd0567a8050275,1
01b1e7f0-0001-9dfc-0005-177a0002810e,"show OBJECTS like 'TRIPS%' in SCHEMA IDENTIFIER('""CITIBIKE"".""PUBLIC""') limit 2",16,CITIBIKE,5,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,4,ANALYTICS_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:04:58.503-08:00,2024-01-25T05:04:58.573-08:00,70,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,cf869d8eea2a5b4566e328a3fd19287c,2,cf869d8eea2a5b4566e328a3fd19287c,1
01b1e7ee-0001-9d31-0005-177a00025686,select * from trips limit 20;,16,CITIBIKE,5,PUBLIC,SELECT,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,4,ANALYTICS_WH,Large,STANDARD,1,,SUCCESS,,,2024-01-25T05:02:19.031-08:00,2024-01-25T05:02:20.264-08:00,1233,46594955,0,0,0,0,20,0,0,0,0,0,1,16,0,0,256727,874,359,0,0,0,0,,,0,,,0,0,0.000134,8.3.1,0,0,0,0,0,100,FALSE,0,0,0,0,0,ROLE,76f2923e93267876aa0c95aaad6ed0ef,2,76f2923e93267876aa0c95aaad6ed0ef,1
01b1e7f9-0001-9dfc-0005-177a0002813a,"show OBJECTS like 'JSON_WEATHER_DATA%' in SCHEMA IDENTIFIER('""WEATHER"".""PUBLIC""') limit 2",19,WEATHER,6,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:13:59.892-08:00,2024-01-25T05:13:59.937-08:00,45,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,31,14,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0451266d7cc1764c8f81ed4a781b5f75,2,0451266d7cc1764c8f81ed4a781b5f75,1
